keywords,language,meta-description,name,companyhomepageurl,location,street,city,region,postalCode,country,size,revenue,industries,similarTo,score,summary,ceo,phoneNumbers,linkedInUri,facebookUri,crunchbaseUri,twitterUri,wikipediaUri,angellistUri,githubUri,sicClassificationCode,sicClassificationName,naicsClassificationCode,naicsClassificationName,foundingDate,totalInvestment,investmentsSeries,investmentsAmount,investmentsDate,investors,isPublic,ipoDate,stockExchange,stockSymbol,isNonProfit,numVisits,lastActivityDate
,,,Enigma,askenigma.com,"New York City, New York",228 Park Ave S,New York City,New York,10003,United States of America,5,72000 USD,"Consumer Service Companies,Security Companies,Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2021,,,linkedin.com/company/askenigma,,crunchbase.com/organization/askenigma,,,,,"7371,7370,7300,7389,7381,7380,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Business Services, Not Elsewhere Classified,Detective, Guard, And Armored Car Services,Miscellaneous Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,561000,561612,561610,561600,560000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Administrative and Support Services;Security Guards and Patrol Services;Investigation, Guard, and Armored Car Services;Investigation and Security Services;Administrative and Support and Waste Management and Remediation Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,,"Pre Seed,Seed",,"2021-03-01,2022-03-01","Bloomberg Beta,General Catalyst,Bloomberg Beta",FALSE,,,,FALSE,0,
Demo,,The future of work demands compensation management that’s operationally sophisticated  takes pay equity seriously  and builds trust with employees. Assemble is a new vision for compensation management that makes it easy for organizations to meet the demands of a changing world.,Assemble,assemble.inc,"San Francisco, California",,San Francisco,California,94115,United States of America,8,260000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies,Software As A Service Companies",,,Organization founded in 2020,,,linkedin.com/company/assemble-technology,,crunchbase.com/organization/assemble-f68d,twitter.com/TryAssemble,,,github.com/assemble-inc,"7371,7370,7300,7372,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,5000000 USD,Seed,5000000 USD,2022-01-11,"Stacie Faggioli,Colin Anderson,Susa Ventures,Goldcrest Capital,Anthony \'Pomp\' Pompliano,Leslie Crowe,Connor Theilmann",FALSE,,,,FALSE,0,
,en,,Atmo,atmo.ai,"San Francisco, California",218 9th St,San Francisco,California,94103,United States of America,6,210000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Robotics Companies",,,Organization founded in 2019,Alexander Levy,,linkedin.com/company/atmo-ai,,crunchbase.com/organization/froglabs,,,,github.com/atmoai,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019,4150000 USD,"Pre Seed,Pre Seed,Seed","150000 USD,2000000 USD,2000000 USD","2020-03-16,2020-11-18,2022-01-01","Elysium Venture Capital,Y Combinator,Signia Venture Partners,Sound Ventures LLC,AIX Ventures",FALSE,,,,FALSE,0,
Demo,en-GB,,Audyo,audyo.ai,"Newark, Delaware",2035 Sunset Lake Road,Newark,Delaware,19702,United States of America,3,68000 USD,"Software Companies,Artificial Intelligence Companies,Virtual Reality Companies,Video Messaging Companies",,,Organization founded in 2020,Colin Ricardo,,linkedin.com/company/audyo,,crunchbase.com/organization/audyo-inc,twitter.com/audyo_ai,,,,"7371,7370,7300,7372,7371,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Computer Programming Services,Prepackaged Software","541511,541510,541500,541000,540000,511210,541511,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Custom Computer Programming Services;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2020-01-01,1850000 USD,"Pre Seed,Seed","850000 USD,1000000 USD","2021-02-10,2022-04-07","Jonathan Cornelissen,Dream Machine,General Catalyst,Sequoia Capital,The Fund,Techstars,General Catalyst,Tiny VC,The Fund,Techstars",FALSE,,,,FALSE,0,
Contact,en,The AI that's here to help supercharge your productivity,Augment AI Corp,augment.co,"Seattle, Washington",9309 26th Pl NW,Seattle,Washington,98117,United States of America,5,81000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2021,Jordan Ritter,,linkedin.com/company/augmentco,,crunchbase.com/organization/augment-ai-corp,twitter.com/augmentai,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,3450000 USD,Seed,3450000 USD,2022-01-04,"Flying Fish Partners,Jazz Venture Partners,Incisive Ventures,AI2 Incubator",FALSE,,,,FALSE,0,
Contact,en-AU,,BabylonChain,babylonchain.io,"Palo Alto, California",,Palo Alto,California,94306,United States of America,5,230000 USD,"Financial Services Companies,Digital Currencies Companies,Software Companies,Enterprise Software Companies,Security Software Companies",,,Financial services company founded in 2022,,,linkedin.com/company/babylon-chain,,crunchbase.com/organization/babylonchain,,,,,"7371,7370,7300,7372,7372,6099,6000,6090","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software,Functions Related To Depository Banking, Not Elsewhere Classified,Depository Institutions,Functions Related To Depository Banking","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000,520000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Finance and Insurance, Financial Services",2022-01-01,,Seed,,2022-01-21,Alumni Ventures Group,FALSE,,,,FALSE,0,
,,,Baller Mixed Reality,ballermr.com,"Miami Beach, Florida",,Miami Beach,Florida,33140,United States of America,5,72000 USD,"Software Companies,Artificial Intelligence Companies,Virtual Reality Companies",,,Organization founded in 2021,,8888401118,linkedin.com/company/83704119,facebook.com/BallerMR,crunchbase.com/organization/baller-mixed-reality,twitter.com/BallerMixedReal,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-02-15,1000000 USD,Seed,1000000 USD,2022-03-15,,FALSE,,,,FALSE,0,
Demo,en,Baseten is the ML Application Builder for data science teams. Ship full-stack apps in minutes. No frontend  backend  or infrastructure knowledge required.,Baseten,baseten.co,"San Francisco, California",,San Francisco,California,94115,United States of America,5,87000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Robotics Companies",,,Organization founded in 2019,tuhin srivastava,,linkedin.com/company/baseten,,crunchbase.com/organization/baseten,twitter.com/basetenco,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-01-01,20000000.0 USD,"Series A,Seed","12000000.0 USD,8000000 USD","2022-04-26,2022-04-26","Dev Ittycheria,Lachy Groom,Jean-Denis Greze,South Park Commons,Jay Simons,Greylock Partners,Cristina Cordova,Dylan Field,AI Fund,Lachy Groom,South Park Commons,Caffeinated Capital,Greg Brockman,Greylock Partners,Mustafa Suleyman,DJ Patil",FALSE,,,,FALSE,0,
,en,,Beach Box,beachbox.co,"Miami, Florida",,Miami,Florida,33130,United States of America,5,56000 USD,"Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Organization founded in 2019,,,linkedin.com/company/beach-box-safe-inc,,crunchbase.com/organization/beach-box,,,,,"7371,7370,7300,5734,5730,5700,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541510,541500,541000,540000,334000,330000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Computer and Electronic Product Manufacturing;Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-01-01,,Seed,,2022-01-04,Zane Venture Fund,FALSE,,,,FALSE,0,
Contact,en-US,,BeautAI,beaut.ai,"Austin, Texas",360 Nueces St,Austin,Texas,78701,United States of America,5,450000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2022,,2147337055,linkedin.com/company/beautai,,crunchbase.com/organization/beautai,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2022-01-01,600000 USD,Seed,600000 USD,2022-04-01,Israel Innovation Authority,FALSE,,,,FALSE,0,
"Contact, Demo",en-US,AI-powered industrial safety incidents detection. Safety Audits and Safety Incidents Detect  report  prevent injuries and accidents.,Be Global Safety,beglobalsafety.com,"Durham, North Carolina",,Durham,North Carolina,27709,United States of America,5,79000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2021,,7188013079,linkedin.com/company/beglobalsafety,,crunchbase.com/organization/be-global-safety,mobile.twitter.com/BeGlobalSafety1,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-07-06,120000 USD,Seed,120000 USD,2022-02-07,Techstars,FALSE,,,,FALSE,0,
,,Revolutionizing maps with exciting breakthroughs in geospatial technology.,mappy,bemappy.io,"Honolulu, Hawaii",4348 Waialae Avenue #532,Honolulu,Hawaii,96816,United States of America,5,85000 USD,"Financial Services Companies,Financial Data Vendors,Software Companies,Data Analytics Companies,Enterprise Software Companies,Database Companies",,,Financial services company founded in 2019,,,,facebook.com/be.mappy,crunchbase.com/organization/mappy-ff63,,,,,"7371,7370,7300,7372,6282,6000,6280,6200,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Investment Advice,Depository Institutions,Services Allied With The Exchange Of Securities Or Commodities,Security And Commodity Brokers, Dealers, Exchanges, And Services,Prepackaged Software","541511,541510,541500,541000,540000,511210,518210,518200,518000,510000,520000,511210,511200,511000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Data Processing, Hosting, and Related Services;Data Processing, Hosting, and Related Services;Data Processing, Hosting, and Related Services;Information;Finance and Insurance, Financial Services;Software Publishers;Software Publishers;Publishing Industries (except Internet)",2019-10-01,500000 USD,Seed,500000 USD,2022-02-28,,FALSE,,,,FALSE,0,
Contact,en,Get the #1 Restaurant Booking and Loyalty app in Hong Kong. 2k+ restaurants with discounts  photos  menus. It's Free!,Bistrochat,bistrochat.com,"Hong Kong, Rhode Island",,Hong Kong,Rhode Island,1,United States of America,6,82000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies",,,Organization founded in 2018,Hacene Taibi,85293191193,linkedin.com/company/10823384,facebook.com/BistroChat,crunchbase.com/organization/bistrochat,twitter.com/BistroChat,,angel.co/bistrochat,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-01-01,1150000 USD,"Seed,Convertible Note,Seed","150000 USD,1000000 USD","2021-02-25,2021-02-25,2022-01-20","MOX,SOSV,MOX,SOSV,SOSV",FALSE,,,,FALSE,0,
,,,Blyp,blyp.net,"New York City, New York",,New York City,New York,11217,United States of America,5,94000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies",,,Organization founded in 2021,Matan Elmalam,,linkedin.com/company/blypai,facebook.com/hiblyp,crunchbase.com/organization/blyp,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,4000000 USD,Seed,4000000 USD,2022-02-02,"Boaz Schwartz,SILVERTECH VENTURES LLC,Dovi Frances,Eyal Waldman,Rafi Gidron,World Trade Ventures (WTV)",FALSE,,,,FALSE,0,
"Contact, Demo",en,Brevity Builder - Code apps visually,Brevity,brevitybuilder.com,"Lehi, Utah",Lehi,Lehi,Utah,84043,United States of America,5,93000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2020,,,linkedin.com/company/deftapps,,crunchbase.com/organization/brevity-60ba,twitter.com/brevitybuilder,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2020-01-01,3000000 USD,"Pre Seed,Seed","250000 USD,2750000 USD","2020-10-02,2022-02-22","Reef Capital Partners,Contrary",FALSE,,,,FALSE,0,
Contact,en-US,,UNITED ROBOTIC SYSTEMS by BRICK + MORTAR Company,brickandmotorcompany.com,"Pompano Beach, Florida",301 N Ocean Blvd.,Pompano Beach,Florida,33062,United States of America,5,41000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies",,,Organization founded in 2018,,1-941-204-3306,,facebook.com/UnitedRobiticSystems,crunchbase.com/organization/united-robotic-systems,,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-11-01,7146000 USD,"Pre Seed,Pre Seed,Pre Seed,Pre Seed,Pre Seed,Seed,Seed","100000 USD,50000 USD,100000 USD,250000 USD,100000 USD,650000 USD,5896000 USD","2018-11-01,2018-11-01,2019-07-04,2019-09-04,2021-01-14,2021-02-05,2022-01-27",,FALSE,,,,FALSE,0,
